date,no2_trop,co_trop
2024-01-01,0.00020569084546454957,0.0569368719188246
2024-01-02,0.0002328056369719796,0.0437725101790536
2024-01-03,,0.0558560562308604
2024-01-04,,
2024-01-05,,
2024-01-06,,0.0431526864345199
2024-01-07,0.00024345432960062768,0.0586316809058167
2024-01-08,0.000385968585157324,0.057905415877712
2024-01-09,,0.0444329269230349
2024-01-10,0.00016658845358185972,0.0440483055317422
2024-01-11,0.0002096211761672304,0.0497747845947724
2024-01-12,0.00035388497053644234,0.052927836983216
2024-01-13,0.000496899391772814,
2024-01-14,0.00026739659381422147,0.0477039981147206
2024-01-15,,0.0423233207092972
2024-01-16,,0.0502993911504726
2024-01-17,0.0002858345825173131,
2024-01-18,0.0004049137674426527,0.0536796455238201
2024-01-19,,0.04817721229364
2024-01-20,0.00035246625402443366,0.0587927269545085
2024-01-21,0.00015983904391767483,0.0500289276242237
2024-01-22,0.0002870061523745573,
2024-01-23,0.00035729718556383304,0.0656206811350305
2024-01-24,0.00019981722501392056,0.0577735483206923
2024-01-25,,0.0549686321123327
2024-01-26,0.000359026488346394,0.071922863411966
2024-01-27,0.00011538611640767984,0.0412445589900001
2024-01-28,,
2024-01-29,0.00019047869559538983,0.0664718272085285
2024-01-30,0.0003535584418580634,
2024-01-31,,
2024-02-01,,0.0433898195624335
2024-02-02,9.613742707403014e-05,
2024-02-03,,
2024-02-04,,
2024-02-05,0.00010560944245606214,0.0396985910618552
2024-02-06,8.899786725750103e-05,0.0388318039476857
2024-02-07,8.301735442670907e-05,0.0383077673025381
2024-02-08,6.130053952801744e-05,0.0392108295037078
2024-02-09,0.0001429879309576001,0.0378121325070856
2024-02-10,0.000290952832971635,
2024-02-11,0.00018806676962412197,0.044260231146547
2024-02-12,,
2024-02-13,0.0007144853244839091,
2024-02-14,0.00014785170358055314,0.0520552993823167
2024-02-15,0.00016322287115031275,0.0470176395173058
2024-02-16,,0.0353234573233968
2024-02-17,0.00013548791533382225,0.0396203510463223
2024-02-18,0.00014560490901109228,
2024-02-19,9.224796383217492e-05,
2024-02-20,0.00016552711965590465,0.0400485529842121
2024-02-21,,
2024-02-22,0.00012051391589237694,0.04464785509803
2024-02-23,0.00010200649218019882,0.039703774318504
