pm25,pm10,no2,so2,co,ozone,temp,humidity,wind_speed,wind_dir,date,no2_trop,co_trop
201.70833333333331,340.453125,56.39791666666667,8.6796875,1.600833333333333,17.028645833333332,11.809895833333334,75.34375,0.4114583333333333,59.817708333333336,2024-01-01,0.0002056908454645,0.0569368719188246
195.90625,322.4166666666667,62.584375,18.880729166666665,1.7713541666666668,17.979166666666668,11.538541666666667,72.11458333333333,0.5437500000000001,54.177083333333336,2024-01-02,0.0002328056369719,0.0437725101790536
247.09375,360.0416666666667,71.01718749999999,15.338278546712802,2.1821875,15.513541666666669,10.745833333333332,84.65625,0.5109374999999999,37.76041666666666,2024-01-03,,0.0558560562308604
274.0625,436.21875,71.07083333333334,10.079166666666667,1.8563541666666667,14.377083333333331,11.54375,81.26041666666667,0.31875,96.4375,2024-01-04,,
218.28125,345.9791666666667,59.13125,11.380729166666669,2.2047916666666665,15.246875,12.008333333333333,84.875,0.3218749999999999,51.01041666666666,2024-01-05,,
223.30208333333331,376.5416666666667,68.65208333333334,18.995833333333334,3.5675000000000003,14.941666666666668,11.71875,78.78125,0.3854166666666667,44.38541666666666,2024-01-06,,0.0431526864345199
214.33333333333331,357.84375,75.71458333333334,8.182638888888889,3.5453125,17.227083333333333,12.201041666666669,74.78125,0.3947916666666666,61.26041666666666,2024-01-07,0.0002434543296006,0.0586316809058167
331.125,531.5625,81.5859375,15.816145833333332,4.107291666666667,15.232291666666669,11.527083333333332,80.91666666666667,0.3833333333333333,37.85416666666666,2024-01-08,0.0003859685851573,0.057905415877712
184.91666666666663,303.9895833333333,57.75104166666667,10.615104166666669,3.86,15.325,11.623958333333334,80.97916666666667,0.4427083333333333,91.48958333333331,2024-01-09,,0.0444329269230349
177.28125,304.9375,58.190625,12.547395833333333,4.559375,16.990624999999998,11.038541666666667,77.80208333333333,0.521875,122.64583333333331,2024-01-10,0.0001665884535818,0.0440483055317422
229.36458333333331,375.2083333333333,75.83072916666667,17.8328125,3.954322916666667,19.525,11.711979166666666,74.67708333333333,0.3630208333333333,99.453125,2024-01-11,0.0002096211761672,0.0497747845947724
253.5625,392.3697916666667,87.00104166666667,8.719270833333333,3.628958333333333,18.48645833333333,11.565625,76.6875,0.33125,73.72916666666667,2024-01-12,0.0003538849705364,0.052927836983216
408.1750679250679,584.8310975609756,114.775,23.1234375,4.2022916666666665,25.519791666666663,10.984375,81.9375,0.4135416666666666,38.677083333333336,2024-01-13,0.0004968993917728,
